case_id,model,model_output_valid,review_finding_n,latency_ms
case-bd5b217579b468056361,deepseek-v4-pro[1m],1,7,378856
case-5d259ad82985046d8794,deepseek-v4-pro[1m],1,4,352823
case-9dbfa7a0c3210e05dad8,deepseek-v4-pro[1m],1,6,823321
case-8e3569ec12253aacd7c7,deepseek-v4-pro[1m],1,7,311285
case-9597ed92b1be9122fd86,deepseek-v4-pro[1m],1,2,656595
case-aa2cbfc9848aab44dd69,deepseek-v4-pro[1m],1,3,346682
case-986e3a0cdc17b46ae30a,deepseek-v4-pro[1m],1,0,106534
case-1cee12de60b9ec498450,deepseek-v4-pro[1m],1,7,451044
case-7c6f0f53534b13a179ae,deepseek-v4-pro[1m],1,4,352346
case-82870bc3110df4617202,deepseek-v4-pro[1m],1,3,416555
case-33116a254af11ba01af8,deepseek-v4-pro[1m],1,5,516513
case-a4fa4865dc303b1dca39,deepseek-v4-pro[1m],1,0,429714
case-0dae88f83e73408565ec,deepseek-v4-pro[1m],1,10,237680
case-ab37a0754d9da12ed40c,deepseek-v4-pro[1m],1,3,459943
case-554adcd81abcd45211d3,deepseek-v4-pro[1m],1,2,300731
case-cb2aa3ca3fcfec607cfe,deepseek-v4-pro[1m],1,2,435682
case-ceeab167e6eb9cc30b63,deepseek-v4-pro[1m],1,3,291916
case-876b04abf7d9fca64331,deepseek-v4-pro[1m],1,5,581016
case-7cf6b8b222a8054d4a1c,deepseek-v4-pro[1m],1,5,767277
case-4bdf822f70334d0f1dc2,deepseek-v4-pro[1m],1,2,390012
case-70e2ad7555f8d7f01060,deepseek-v4-pro[1m],1,1,451420
case-0f974a189406b0e9fdff,deepseek-v4-pro[1m],1,3,409589
case-656157e34a42feec3ad8,deepseek-v4-pro[1m],1,8,274488
case-0eb420b020d66fb3faa1,deepseek-v4-pro[1m],1,3,455830
case-7d141ea370270a99cd74,deepseek-v4-pro[1m],1,4,859452
case-1855415e884ee1ba48cc,deepseek-v4-pro[1m],1,3,427630
case-e76cf55d18b0ab58656e,deepseek-v4-pro[1m],1,2,1020473
case-3c8177202cf6cc19c412,deepseek-v4-pro[1m],1,2,598416
case-ff1dc77e4f7787b90c70,deepseek-v4-pro[1m],1,2,442363
case-e17525ec35113f1fa642,deepseek-v4-pro[1m],1,9,338828
case-5049d6408b926501ef3e,deepseek-v4-pro[1m],1,4,602983
case-9258fcf27373a933e7e2,deepseek-v4-pro[1m],1,3,451647
case-14a8d97497657e19a2a9,deepseek-v4-pro[1m],1,9,528462
case-dd8a6cbe3c950793b3a1,deepseek-v4-pro[1m],1,6,392128
case-4578c4889514db7150cf,deepseek-v4-pro[1m],1,1,552874
case-525728e1a062e44ee133,deepseek-v4-pro[1m],1,7,719241
case-3fb516ef59e99ebefe90,deepseek-v4-pro[1m],1,5,428229
case-2cdd9473970f9f723f9e,deepseek-v4-pro[1m],1,4,739445
case-bb513ea234bdfc13c5a1,deepseek-v4-pro[1m],1,10,408104
case-7f788149a3a2219a99e4,deepseek-v4-pro[1m],1,6,362296
case-880de7042f7b15901f54,deepseek-v4-pro[1m],1,1,604667
case-abeeda63ad07c7938f14,deepseek-v4-pro[1m],1,0,343982
case-f79f81c705927327894b,deepseek-v4-pro[1m],1,0,161158
case-84c82eee85b78c55a60c,deepseek-v4-pro[1m],1,0,577903
case-6810e3569e902f4a518f,deepseek-v4-pro[1m],1,1,358439
case-251cb80f6be4da1148b5,deepseek-v4-pro[1m],1,5,477813
case-1b1b75ac29761e80113e,deepseek-v4-pro[1m],1,0,342180
case-d16aaf7c33621dbb5444,deepseek-v4-pro[1m],1,5,373510
case-e5ea5da2a535c77cde60,deepseek-v4-pro[1m],1,3,415036
case-ed9ae96c6bb9c789e7e4,deepseek-v4-pro[1m],1,2,345402
case-315d6ae6a9b8cfaf69af,deepseek-v4-pro[1m],1,6,235801
case-4cf1ca9870497fac9821,deepseek-v4-pro[1m],1,4,430621
case-e2873dbaad5aa9b00625,deepseek-v4-pro[1m],1,4,607173
case-c1f71d6f3f82b8cb893c,deepseek-v4-pro[1m],1,2,496905
case-456a99e5375f1a6b0158,deepseek-v4-pro[1m],1,5,520337
case-906c229655ff5b2d845d,deepseek-v4-pro[1m],1,3,490251
case-4055614affc1d125415b,deepseek-v4-pro[1m],1,5,577890
