root_cause_cluster_id,repo_name,pr_number,cluster_key_within_pr,review_reasons,alert_n,rule_n,root_cause_category,mechanism_subcategory,confidence,audit_outcome,audit_basis,audit_note
rccluster-3b2cc931c08c3a5fead8,BeehiveInnovations/zen-mcp-server,95,base-tool-local-logging-imports,large_cluster,5,1,redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,high,confirmed,repeated_same_operation,All five alerts are redundant local imports of the already imported logging module.
rccluster-12ede7e31a3d5818d112,BerriAI/litellm,12551,duplicated-litellm-import-forms,cross_rule,3,2,redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,high,confirmed,same_import_block,Both rules describe the same redundant import block and consumer set.
rccluster-b8ec17a3dbc98742e165,CapSoftware/Cap,567,sign-in-logic-extraction-residue,large_cluster,10,1,incomplete_change_coordination,incomplete_cleanup_after_modification,high,confirmed,single_extraction_refactor,All retained imports lost their consumers in the same sign-in logic extraction.
rccluster-966d315e4762fa71c63e,CapSoftware/Cap,567,upgrade-auth-implementation-residue,large_cluster,10,1,incomplete_change_coordination,incomplete_cleanup_after_modification,high,confirmed,single_ui_refactor,The ten bindings all belong to the removed or commented inline upgrade authentication flow.
rccluster-3be08b86f241796b2944,Kiln-AI/Kiln,361,adapter-call-migration-signature,large_cluster,5,1,interface_or_contract_mismatch,caller_callee_signature_mismatch,high,confirmed,systematic_call_migration,Five call sites repeat the same unsupported keyword migration.
rccluster-c2fe8b296146ba98c75b,OneKeyHQ/app-monorepo,6756,wallet-rename-unused-modal-scaffolding,large_cluster,5,1,incomplete_change_coordination,unintegrated_element_in_new_code,high,confirmed,single_component_scaffold,All five alerts are disconnected dependencies in one WalletRenameButton implementation.
rccluster-f7b342b341016f2db787,OpenHFT/Chronicle-Wire,1061,parameter-renames-not-propagated-to-javadoc,large_cluster,6,1,interface_or_contract_mismatch,export_documentation_or_metadata_mismatch,high,confirmed,systematic_parameter_rename,The six documentation mismatches result from one cross-file parameter naming refactor.
rccluster-93b5fbef7dfa34cf01b7,OpenPipe/ART,161,rl-runner-unused-import-scaffold,large_cluster,5,1,incomplete_change_coordination,unintegrated_element_in_new_code,high,confirmed,single_new_file_scaffold,All five alerts are unused imports introduced with the same new runner file.
rccluster-9bf17e0c7a128d837a26,Skyvern-AI/skyvern,2435,task-response-workflow-service-cycle,cross_rule;large_cluster,9,2,dependency_error_or_resource_mismanagement,dependency_cycle_or_duplicate_path,high,confirmed,single_dependency_edge,One new task_v2_service-to-workflow_service edge explains both cycle rules and all nine entry points.
rccluster-74f313e30ab63bae8f2a,airbytehq/airbyte,56432,box-source-unused-framework-imports,large_cluster,6,1,incomplete_change_coordination,unintegrated_element_in_new_code,high,confirmed,single_new_module_scaffold,The six findings are unused framework imports in one new Box source module.
