case_id,reference_id,group,primary,baseline_recovered,skill_recovered,paired_outcome,skill_finding_ids,root_cause_category
case-03011033f32e831010a4,sf-855b1bfa45a1fa6a6c12,ai,1,0,0,neither,[],redundant_or_locally_inconsistent_construction
case-0dae88f83e73408565ec,sf-3405091b22b7dbd375d3,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-0dae88f83e73408565ec,sf-fbcc3b3246ac3dd063ff,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-0dae88f83e73408565ec,sf-e3003d1d39e7033ae473,ai,1,0,1,skill_only,"[""case-0dae88f83e73408565ec-f0011""]",dependency_error_or_resource_mismanagement
case-0dae88f83e73408565ec,sf-a1aa8937dc21decf70e3,ai,1,0,1,skill_only,"[""case-0dae88f83e73408565ec-f0011""]",dependency_error_or_resource_mismanagement
case-0dae88f83e73408565ec,sf-b31a79845c369ac2913e,ai,1,0,1,skill_only,"[""case-0dae88f83e73408565ec-f0011""]",dependency_error_or_resource_mismanagement
case-14a8d97497657e19a2a9,sf-4115a5324be6b1af3373,ai,0,1,1,both,"[""case-14a8d97497657e19a2a9-f0006""]",incomplete_change_coordination
case-14a8d97497657e19a2a9,sf-5bb7ae43a0f3de4f0bf1,ai,0,1,1,both,"[""case-14a8d97497657e19a2a9-f0006""]",incomplete_change_coordination
case-14a8d97497657e19a2a9,sf-3718e1b6ba25d3c965a4,ai,0,1,0,baseline_only,[],incomplete_change_coordination
case-15fca550df7f9ba029d9,sf-c09231452f36ccef2f4a,ai,1,0,0,neither,[],interface_or_contract_mismatch
case-1aaea7ba84a2f17638de,sf-c324591f264f7ae7bf0e,ai,1,0,0,neither,[],control_state_or_dataflow_miscomposition
case-232a78570fb9941423b0,sf-99d33280d90d77022b8f,ai,1,1,0,baseline_only,[],interface_or_contract_mismatch
case-232a78570fb9941423b0,sf-defa6c08655cef5dee2e,ai,0,0,0,neither,[],redundant_or_locally_inconsistent_construction
case-232a78570fb9941423b0,sf-4a907d0f322c6840a609,ai,0,0,0,neither,[],interface_or_contract_mismatch
case-251cb80f6be4da1148b5,sf-4f45698b78c934b6fe0d,ai,1,0,0,neither,[],control_state_or_dataflow_miscomposition
case-251cb80f6be4da1148b5,sf-93557704dfd4af4f33d5,ai,1,0,0,neither,[],control_state_or_dataflow_miscomposition
case-251cb80f6be4da1148b5,sf-11536c648b436064cbcb,ai,1,0,0,neither,[],control_state_or_dataflow_miscomposition
case-297b8514fd048d20c40e,sf-d1115807d6e72d59553a,ai,1,1,0,baseline_only,[],control_state_or_dataflow_miscomposition
case-2d93edefa9bf78e1efb4,sf-2415746867738a4452bb,ai,1,0,0,neither,[],control_state_or_dataflow_miscomposition
case-2f0bf603687d1eee9d5c,sf-08b4712433e2852ae390,ai,0,0,0,neither,[],redundant_or_locally_inconsistent_construction
case-315d6ae6a9b8cfaf69af,sf-2a026153bb37163cb108,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-b322c91b6da3ceb0e320,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-27da057359b03c8f1cc9,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-fb0479503d4b4c76a059,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-7222b359df14c48a6019,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-557d77ffdfcd54db74e6,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-7d836c22dbb5f775cca9,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-f10c6c35948b7520a413,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-a944c7fc8b5442100ebb,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-6bc931a713e606ee59a5,ai,1,0,0,neither,[],dependency_error_or_resource_mismanagement
case-315d6ae6a9b8cfaf69af,sf-670658b6035afcb2b7f1,ai,0,1,1,both,"[""case-315d6ae6a9b8cfaf69af-f0010""]",incomplete_change_coordination
case-315d6ae6a9b8cfaf69af,sf-e50df9ca75ba1dee3845,ai,0,0,1,skill_only,"[""case-315d6ae6a9b8cfaf69af-f0010""]",incomplete_change_coordination
case-37aad921cd746c69ff61,sf-c18afdfd527487d6fa82,ai,0,0,0,neither,[],incomplete_change_coordination
case-4305c02b5fa838228719,sf-db0ad4255383099c1685,ai,1,1,1,both,"[""case-4305c02b5fa838228719-f0002""]",incomplete_change_coordination
