case_id,group,repo_name,pr_number,language,task_type,reference_id,alert_id,rule_id,rule_name,quality_category,semantic_recovered,analysis_tier,rq1_mechanism_category,rq1_mechanism_label,mechanism_subcategory,root_cause_cluster_id,mapping_source,mapping_status,mapping_confidence,mapping_rationale
case-03011033f32e831010a4,ai,vgmtrans/vgmtrans,612,C++,refactor,sf-855b1bfa45a1fa6a6c12,qalert-56c7d475df684d8e1bf401a3,cpp/commented-out-code,Commented-out code,maintainability,0,strict_primary_114,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-f0a555838f128311f134,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The sequence parser change retained two complete debug logging statements as comments instead of removing the dead implementation text or expressing an explanatory comment.
case-0dae88f83e73408565ec,ai,willccbb/verifiers,166,Python,feat,sf-3405091b22b7dbd375d3,qalert-8c45f36a59a9aff7647456b8,py/empty-except,Empty except,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-1a8c59efdc71651f6460,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The Tau2 environment added empty handlers around both user and agent is_stop probes, silently converting every probe failure into continued execution."
case-0dae88f83e73408565ec,ai,willccbb/verifiers,166,Python,feat,sf-a1aa8937dc21decf70e3,qalert-511d03322ade73ccb4519952,py/empty-except,Empty except,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-bbb181e33e7f33f41ca2,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The added pre/post-tool order diagnostics wrapped three debug probes in empty Exception handlers, hiding failures without recording why each probe was optional."
case-0dae88f83e73408565ec,ai,willccbb/verifiers,166,Python,feat,sf-b31a79845c369ac2913e,qalert-d994b14ebc264ccff6a15a01,py/empty-except,Empty except,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-bbb181e33e7f33f41ca2,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The added pre/post-tool order diagnostics wrapped three debug probes in empty Exception handlers, hiding failures without recording why each probe was optional."
case-0dae88f83e73408565ec,ai,willccbb/verifiers,166,Python,feat,sf-e3003d1d39e7033ae473,qalert-d13b3abb3efae8a4c8945f93,py/empty-except,Empty except,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-bbb181e33e7f33f41ca2,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The added pre/post-tool order diagnostics wrapped three debug probes in empty Exception handlers, hiding failures without recording why each probe was optional."
case-0dae88f83e73408565ec,ai,willccbb/verifiers,166,Python,feat,sf-fbcc3b3246ac3dd063ff,qalert-4e1088e24a5caad74754800e,py/empty-except,Empty except,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-1a8c59efdc71651f6460,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The Tau2 environment added empty handlers around both user and agent is_stop probes, silently converting every probe failure into continued execution."
case-14a8d97497657e19a2a9,ai,crewAIInc/crewAI,2277,Python,feat,sf-3718e1b6ba25d3c965a4,qalert-d461ca1dcea706b0fa867be3,py/unused-import,Unused import,maintainability,1,extended_additional_73,incomplete_change_coordination,Incomplete change coordination,unintegrated_element_in_new_code,rccluster-dec3ccb6080877ea62b5,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The new base LLM module imported Callable but its interface annotations use only the other imported typing constructs.
case-14a8d97497657e19a2a9,ai,crewAIInc/crewAI,2277,Python,feat,sf-4115a5324be6b1af3373,qalert-5aefd97a9c6e469742cd76a9,py/unused-import,Unused import,maintainability,1,extended_additional_73,incomplete_change_coordination,Incomplete change coordination,unintegrated_element_in_new_code,rccluster-bbda2d2064d71f965629,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The crew implementation added TypeVar and a LangchainBaseTool alias but did not define a type variable or reference the aliased tool type.
case-14a8d97497657e19a2a9,ai,crewAIInc/crewAI,2277,Python,feat,sf-5bb7ae43a0f3de4f0bf1,qalert-e3397b78ab9ff275844b116a,py/unused-import,Unused import,maintainability,1,extended_additional_73,incomplete_change_coordination,Incomplete change coordination,unintegrated_element_in_new_code,rccluster-bbda2d2064d71f965629,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The crew implementation added TypeVar and a LangchainBaseTool alias but did not define a type variable or reference the aliased tool type.
case-15fca550df7f9ba029d9,ai,OpenHFT/Chronicle-Wire,1061,Java,refactor,sf-c09231452f36ccef2f4a,qalert-749c353999464375c463ff35,java/unknown-javadoc-parameter,Spurious Javadoc @param tags,maintainability,0,strict_primary_114,interface_or_contract_mismatch,Interface or contract mismatch,export_documentation_or_metadata_mismatch,rccluster-f7b342b341016f2db787,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The parameter-renaming refactor changed six method parameters across FieldInfo, WireOut, WireIn, and MethodWriterInvocationHandlerSupplier without propagating the new names to their @param tags."
