family,sensitivity_id,sensitivity_label,group,denominator_pr_n,positive_pr_n,positive_pr_percent,positive_pr_wilson_low_percent,positive_pr_wilson_high_percent,introduced_alert_n,alerts_per_100_pr,available,filter_definition,notes
quality,baseline,All introduced alerts in the frozen family,ai,3087,429,13.896987366375122,12.721540077461798,15.16217606595788,2506,81.17913832199547,true,family == quality,
quality,baseline,All introduced alerts in the frozen family,human,2317,433,18.687958567112645,17.153010737668872,20.326561833509377,4102,177.0392749244713,true,family == quality,
security,baseline,All introduced alerts in the frozen family,ai,3087,78,2.5267249757045676,2.029327178594547,3.142127292631596,245,7.936507936507937,true,family == security,
security,baseline,All introduced alerts in the frozen family,human,2317,95,4.100129477772982,3.365794350787979,4.986411616748993,271,11.696158826068192,true,family == security,
quality,exclude_pooled_top1_quality_rules,Quality excluding pooled full-cohort Top-1 rules,ai,3087,307,9.944930353093618,8.938509324003752,11.050916437627858,2151,69.67930029154519,true,exclude rule_id in {js/unused-local-variable},Rule ranks are computed once from pooled AI+Human Quality alerts; PR denominators are unchanged.
quality,exclude_pooled_top1_quality_rules,Quality excluding pooled full-cohort Top-1 rules,human,2317,312,13.46568839015969,12.13606295564849,14.916257073989536,3167,136.685369011653,true,exclude rule_id in {js/unused-local-variable},Rule ranks are computed once from pooled AI+Human Quality alerts; PR denominators are unchanged.
quality,exclude_pooled_top5_quality_rules,Quality excluding pooled full-cohort Top-5 rules,ai,3087,259,8.390022675736962,7.462992230872531,9.420483216612958,1692,54.81049562682216,true,"exclude rule_id in {java/missing-override-annotation, js/automatic-semicolon-insertion, js/unused-local-variable, js/useless-expression, py/unused-import}",Rule ranks are computed once from pooled AI+Human Quality alerts; PR denominators are unchanged.
quality,exclude_pooled_top5_quality_rules,Quality excluding pooled full-cohort Top-5 rules,human,2317,258,11.135088476478204,9.918015982512145,12.480819441810413,2014,86.92274492878722,true,"exclude rule_id in {java/missing-override-annotation, js/automatic-semicolon-insertion, js/unused-local-variable, js/useless-expression, py/unused-import}",Rule ranks are computed once from pooled AI+Human Quality alerts; PR denominators are unchanged.
quality,precision_high_or_very_high,High/very-high precision alerts only,ai,3087,409,13.249109167476515,12.098714133992512,14.49085604519961,2272,73.59896339488176,true,"precision in {high, very-high}",
quality,precision_high_or_very_high,High/very-high precision alerts only,human,2317,420,18.12688821752266,16.611437135229792,19.747852105039172,3899,168.27794561933536,true,"precision in {high, very-high}",
security,precision_high_or_very_high,High/very-high precision alerts only,ai,3087,49,1.5873015873015872,1.2027612571488344,2.0921815659473584,103,3.3365727243278265,true,"precision in {high, very-high}",
security,precision_high_or_very_high,High/very-high precision alerts only,human,2317,53,2.2874406560207166,1.7530682922954712,2.9797607599961333,108,4.661199827362969,true,"precision in {high, very-high}",
quality,problem_severity_error,Problem severity: error,ai,3087,52,1.6844833171363784,1.2868909288757435,2.2021737888545823,187,6.057661159701976,true,problem_severity == error,
quality,problem_severity_error,Problem severity: error,human,2317,60,2.589555459646094,2.017120562753453,3.31893797541238,173,7.466551575312905,true,problem_severity == error,
security,problem_severity_error,Problem severity: error,ai,3087,42,1.3605442176870748,1.0081407994953262,1.8338509361212234,148,4.794298671849692,true,problem_severity == error,
security,problem_severity_error,Problem severity: error,human,2317,35,1.5105740181268883,1.0881459064864505,2.0935216106999976,93,4.013810962451446,true,problem_severity == error,
quality,problem_severity_info,Problem severity: info,ai,3087,0,0.0,0.0,0.12428521073869082,0,0.0,true,problem_severity == info,
quality,problem_severity_info,Problem severity: info,human,2317,1,0.04315925766076824,0.007619075057462119,0.24407665359702288,1,0.04315925766076824,true,problem_severity == info,
security,problem_severity_info,Problem severity: info,ai,3087,0,0.0,0.0,0.12428521073869082,0,0.0,true,problem_severity == info,
security,problem_severity_info,Problem severity: info,human,2317,0,0.0,0.0,0.16552008781530958,0,0.0,true,problem_severity == info,
quality,problem_severity_recommendation,Problem severity: recommendation,ai,3087,353,11.435050210560414,10.360043005291725,12.605918474063255,1875,60.73858114674441,true,problem_severity == recommendation,
quality,problem_severity_recommendation,Problem severity: recommendation,human,2317,359,15.494173500215796,14.078027287436786,17.024547861642482,2373,102.41691842900302,true,problem_severity == recommendation,
security,problem_severity_recommendation,Problem severity: recommendation,ai,3087,0,0.0,0.0,0.12428521073869082,0,0.0,true,problem_severity == recommendation,
security,problem_severity_recommendation,Problem severity: recommendation,human,2317,0,0.0,0.0,0.16552008781530958,0,0.0,true,problem_severity == recommendation,
quality,problem_severity_warning,Problem severity: warning,ai,3087,112,3.6281179138321997,3.0240239843000647,4.347478626112917,444,14.382896015549077,true,problem_severity == warning,
quality,problem_severity_warning,Problem severity: warning,human,2317,125,5.394907207596029,4.546652036256487,6.390823156455746,1555,67.1126456624946,true,problem_severity == warning,
security,problem_severity_warning,Problem severity: warning,ai,3087,49,1.5873015873015872,1.2027612571488344,2.0921815659473584,97,3.1422092646582445,true,problem_severity == warning,
security,problem_severity_warning,Problem severity: warning,human,2317,70,3.0211480362537766,2.398193805189848,3.7996211413677385,178,7.682347863616746,true,problem_severity == warning,
quality,problem_severity_error_or_warning,Error/warning problem severity only,ai,3087,153,4.956268221574344,4.245051632509684,5.779450204569779,631,20.44055717525105,true,"problem_severity in {error, warning}",
quality,problem_severity_error_or_warning,Error/warning problem severity only,human,2317,165,7.121277514026759,6.143531145315449,8.2409696809638,1728,74.5791972378075,true,"problem_severity in {error, warning}",
security,problem_severity_error_or_warning,Error/warning problem severity only,ai,3087,78,2.5267249757045676,2.029327178594547,3.142127292631596,245,7.936507936507937,true,"problem_severity in {error, warning}",
security,problem_severity_error_or_warning,Error/warning problem severity only,human,2317,95,4.100129477772982,3.365794350787979,4.986411616748993,271,11.696158826068192,true,"problem_severity in {error, warning}",
