case_id,case_control,target_family,group,repo_name,pr_number,language,task_type,model_finding_id,file,line,match_status,candidate_reference_n,matched_reference_family,matched_rule_id,same_case_reference_n,same_file_reference_n,codeql_relation,matched_reference_ids,relation_confidence,relation_rationale,adjudicator_type,automatic_recovered,automatic_semantic_agreement
case-00977e0ec8aff7fcb678,control,quality,ai,getsentry/sentry,95780,Python,feat,mf-13801105e50bcb09f499,static/app/views/replays/detail/ai/ai.tsx,61,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-00977e0ec8aff7fcb678,control,quality,ai,getsentry/sentry,95780,Python,feat,mf-c1816aad0ac7a28c8203,static/app/views/replays/detail/layout/focusTabs.tsx,57,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-0e7910d93b1d2321cee6,control,quality,ai,microsoft/vscode-pull-request-github,7466,TypeScript,feat,mf-84869a37090263a9e055,webviews/components/header.tsx,149,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-0e7910d93b1d2321cee6,control,quality,ai,microsoft/vscode-pull-request-github,7466,TypeScript,feat,mf-4e79a0440b5544fc746a,webviews/components/contextDropdown.tsx,43,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-210bb7200d289a3d2aa0,control,quality,ai,crewAIInc/crewAI,1923,Python,feat,mf-0a12b0c6986a67b80f8b,src/crewai/flow/persistence/decorators.py,165,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-210bb7200d289a3d2aa0,control,quality,ai,crewAIInc/crewAI,1923,Python,feat,mf-2bf6ad949922ecc0b946,src/crewai/flow/persistence/decorators.py,164,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-210bb7200d289a3d2aa0,control,quality,ai,crewAIInc/crewAI,1923,Python,feat,mf-600d81be1f58ca8612ed,src/crewai/flow/persistence/decorators.py,124,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-210bb7200d289a3d2aa0,control,quality,ai,crewAIInc/crewAI,1923,Python,feat,mf-93ac482e6b836def360e,src/crewai/flow/flow.py,661,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-22b5befc227597e10e1c,control,quality,ai,prebid/Prebid.js,13136,JavaScript,fix,mf-8f3eec0bcc61facde566,modules/debugging/bidInterceptor.js,162,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-22b5befc227597e10e1c,control,quality,ai,prebid/Prebid.js,13136,JavaScript,fix,mf-6f413a38154d138657bc,modules/debugging/bidInterceptor.js,247,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-22b5befc227597e10e1c,control,quality,ai,prebid/Prebid.js,13136,JavaScript,fix,mf-3c151d43a6f06111cede,modules/gppControl_usstates.js,55,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-22b5befc227597e10e1c,control,quality,ai,prebid/Prebid.js,13136,JavaScript,fix,mf-7129e16ce9786ad7ca8f,modules/kinessoIdSystem.js,220,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-22b5befc227597e10e1c,control,quality,ai,prebid/Prebid.js,13136,JavaScript,fix,mf-5e3c7221156f54a2b44e,modules/adotBidAdapter.js,155,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-22b5befc227597e10e1c,control,quality,ai,prebid/Prebid.js,13136,JavaScript,fix,mf-50cf57f4fd4f7d9fbb04,modules/medianetBidAdapter.js,529,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-2a05c6f1f5871c732fc9,control,quality,ai,microsoft/typespec,8008,Java,fix,mf-1d853c4a8a5e49c3895e,packages/http-client-csharp/eng/scripts/Add-Debug-Profile.ps1,196,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-2a05c6f1f5871c732fc9,control,quality,ai,microsoft/typespec,8008,Java,fix,mf-d1e89d01a8fab57897be,packages/http-client-csharp/eng/scripts/Add-Debug-Profile.ps1,263,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-2a05c6f1f5871c732fc9,control,quality,ai,microsoft/typespec,8008,Java,fix,mf-548197042f1d7c4448cb,packages/http-client-csharp/eng/scripts/Add-Debug-Profile.ps1,197,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-2ae54e3d2402891653c9,control,quality,ai,getsentry/sentry,94169,Python,feat,mf-5dd36c15fb01f0a88cf4,static/app/gettingStartedDocs/javascript/react-router.tsx,510,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-2ae54e3d2402891653c9,control,quality,ai,getsentry/sentry,94169,Python,feat,mf-1bc78d1f9da105634f70,static/app/gettingStartedDocs/javascript/react-router.tsx,498,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-2ae54e3d2402891653c9,control,quality,ai,getsentry/sentry,94169,Python,feat,mf-ff53c84e0079e4c0e2af,static/app/gettingStartedDocs/javascript/react-router.tsx,191,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
