alert_id,duplicate_ordinal,case_id,group,repo_name,pr_number,pr_id,language,task_type,base_sha,head_sha,issue_domain,is_quality_alert,rule_id,rule_name,problem_severity,precision,quality_category,rule_tags,file_path,start_line,message,fingerprint,fingerprint_method,fingerprint_ambiguity_n,source_group,source_row_number,batch_id,attempt,execution_sha256,condition_present,valid_issue,introduced_by_pr,actionability,confidence,evidence_json,rationale,model_supported_introduced_issue,model_supported_actionable_issue,is_security_alert,human_status,human_disposition,human_condition_present,human_introduced_by_pr,human_valid_issue,human_actionability,human_confidence,human_notes,human_revision,human_source_set,human_source_disposition,human_independent_rereview_disposition,human_consensus_disposition,human_resolution_basis
qalert-0010db00384b72f0459d0069,1,adjcase-cd7bd9de968a669eb379965c,human,allenai/open-instruct,670,2512266582,Python,feat,d5331729e5bf7fde14daba6cd3efeec28d79a634,2ea43350feacbd2b6dfb177fc9bfbcd5176f01d3,quality,true,py/overwritten-inherited-attribute,Overwriting attribute in super-class or sub-class,warning,medium,correctness_reliability,quality|reliability|correctness,open_instruct/tool_utils/tool_vllm.py,48,"Assignment overwrites attribute end_str, which was previously defined in subclass [SearchTool](1).","{""primaryLocationLineHash"": ""10ccf9c33af239ad:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,human,4133,adjbatch-e68a51a54260f7715fd5e4fa,1,8fc62cafc94eb734e9452e387e70c41965f7aa9e2a86f478d66ab6f906b98f9b,yes,yes,yes,should_fix,high,"[{""explanation"":""ToolOutput dataclass defines end_str with default value '\\n</output>'"",""file"":""open_instruct/tool_utils/tool_vllm.py"",""line"":42,""revision"":""head""},{""explanation"":""Tool.__init__ assigns self.end_str = end_str parameter"",""file"":""open_instruct/tool_utils/tool_vllm.py"",""line"":48,""revision"":""head""},{""explanation"":""SearchTool subclass assigns self.end_str = '</query>' before calling super().__init__()"",""file"":""open_instruct/search_utils/search_tool.py"",""line"":11,""revision"":""head""},{""explanation"":""SearchTool returns ToolOutput with end_str='\\n</document>', overwriting the default"",""file"":""open_instruct/search_utils/search_tool.py"",""line"":64,""revision"":""head""}]","Tool base class assigns end_str in __init__ at line 48, which overwrites the end_str previously set by SearchTool subclass at line 11. This is the same pattern as the start_str issue. The file is newly added, making this introduced by the PR. Should be fixed by having SearchTool pass start_str/end_str to super().__init__() instead of setting them before the super call.",1,1,False,completed,confirmed_valid,yes,yes,yes,,,"SearchTool 先设置 <query>/</query>，随后 super().__init__(*args, **kwargs) 又写 self.start_str/end_str，确实覆盖子类设置。",,model_retained,confirmed_valid,confirmed_valid,,source_and_independent_rereview_agreement
qalert-002370da53ce17e473033c5c,1,adjcase-5abd30b112a01560f66abfd1,human,prebid/Prebid.js,12878,2389128937,JavaScript,feat,9ab17e099f7f7a3531f44f7de9facbcde32fcd33,fc7cefe3125aaa0b45404dcf015d8d560aab1239,quality,true,js/unused-local-variable,"Unused variable, import, function or class",recommendation,very-high,maintainability,quality|maintainability|useless-code,test/spec/unit/pbjs_api_spec.js,2721,Unused variable createAuctionStub.,"{""primaryLocationLineHash"": ""fa86015af3eed0:1"", ""primaryLocationStartColumnFingerprint"": ""4""}",fingerprint,1,human,1930,adjbatch-9f1a4785221b9a748ba4b7cc,1,b3bcfa5aaf9d9d67bbc92e9a11dd66e9e54157d9f82ebca5b4922a269cf265e5,yes,yes,yes,should_fix,high,"[{""explanation"":""Outer createAuctionStub declared but never assigned or used"",""file"":""test/spec/unit/pbjs_api_spec.js"",""line"":2721,""revision"":""head""},{""explanation"":""Inner createAuctionStub declaration shadows the outer unused declaration"",""file"":""test/spec/unit/pbjs_api_spec.js"",""line"":2748,""revision"":""head""},{""explanation"":""Before revision had no createAuctionStub variable in this describe block"",""file"":""test/spec/unit/pbjs_api_spec.js"",""line"":2846,""revision"":""before""}]",The outer createAuctionStub declaration at line 2721 is unused because it is immediately shadowed by a new declaration at line 2748 inside the before() hook. This was introduced by the PR's restructuring of the test suite from beforeEach to before/after hooks. Either remove the outer declaration or remove 'let' from line 2748 to use the outer variable.,1,1,False,completed,confirmed_valid,yes,yes,yes,,,PR 新增外层 createAuctionStub，同时在内层再次用 let 声明同名变量，外层绑定从未使用。,,model_retained,confirmed_valid,confirmed_valid,,source_and_independent_rereview_agreement
qalert-0026b2db8f0898add2877e64,1,adjcase-00d34f971a3db682ae34a07b,ai,crewAIInc/crewAI,1892,2786715226,Python,feat,4185ea688f17843ad5cb790836c3129f678eadde,a4bc6240bd8a544f00b5fa2f6cd83f12b4a9b1cf,quality,true,py/unused-import,Unused import,recommendation,very-high,maintainability,quality|maintainability|useless-code,src/crewai/flow/persistence/decorators.py,28,"Import of 'Dict' is not used.
Import of 'get_type_hints' is not used.","{""primaryLocationLineHash"": ""d43b0c25b54a1ab4:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,1384,adjbatch-b354f7e9f3a5a69c14488951,1,f1c1c97fd75b76c015e263a8900034de3b23603c1843aa8addef8cfcccf269db,yes,yes,yes,optional,high,"[{""explanation"":""`Dict` is imported in the `from typing import (...)` block but never referenced anywhere in the module; annotations in the file use only Any, Callable, Optional, Type, TypeVar, Union and cast."",""file"":""src/crewai/flow/persistence/decorators.py"",""line"":31,""revision"":""head""},{""explanation"":""`get_type_hints` is imported but never called; the decorator body inspects flow methods via hasattr/asyncio.iscoroutinefunction only (lines 110-175)."",""file"":""src/crewai/flow/persistence/decorators.py"",""line"":37,""revision"":""head""},{""explanation"":""The only typing usage in `_persist_state`/`decorator` is Any, Optional, Union, Type, Callable and cast, confirming both flagged names are dead imports."",""file"":""src/crewai/flow/persistence/decorators.py"",""line"":75,""revision"":""head""}]","This file is newly added by the pending change, and two names in its typing import block (`Dict`, `get_type_hints`) are never used in the module. Dead imports of this kind are real but low-impact maintainability noise; removing them is a trivial cleanup that does not block merging.",1,0,False,completed,confirmed_valid,yes,yes,yes,,,新文件 decorators.py 导入 Dict 与 get_type_hints，全文未使用。,,model_retained,confirmed_valid,confirmed_valid,,source_and_independent_rereview_agreement
qalert-004c30fc363045783756e0e5,1,adjcase-423d3f7b08f493d50638e1b5,ai,langflow-ai/langflow,8870,3200914224,Python,feat,34efc3befe645800f592174f1f04cb7858c731ae,c54ea832e26da239d32bfb45e294454105d30283,quality,true,py/call/wrong-named-argument,Wrong name for an argument in a call,error,very-high,correctness_reliability,quality|reliability|correctness|external/cwe/cwe-628,src/backend/tests/unit/test_mcp_server.py,166,Keyword argument 'mcp_server' is not a supported parameter name of [function run_mcp_server](1).,"{""primaryLocationLineHash"": ""a6559082e2a6127d:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,1507,adjbatch-a6e0af08b8b8674997d8ca08,1,c0d37bb575ae65daf2e0a3e9961f9c36d63a4cc0943235d80d0b829280656ec3,yes,yes,yes,must_fix,high,"[{""explanation"":""`run_mcp_server(mcp_server=mock_mcp_instance, transport=\""websocket\"", host=\""127.0.0.1\"", port=9000)` passes the unsupported `mcp_server` keyword."",""file"":""src/backend/tests/unit/test_mcp_server.py"",""line"":166,""revision"":""head""},{""explanation"":""The implementation raises ValueError for any transport other than \""sse\"" (`Transport '{transport}' not supported`), so a \""websocket\"" transport test contradicts the staged behavior even apart from the bad keyword."",""file"":""src/backend/base/langflow/cli/mcp_server.py"",""line"":21,""revision"":""head""},{""explanation"":""Signature is `(transport, host, port)` with no `mcp_server` parameter, making the keyword argument an unconditional TypeError."",""file"":""src/backend/base/langflow/cli/mcp_server.py"",""line"":9,""revision"":""head""}]","Third instance of the same defect. Beyond the invalid `mcp_server` keyword, this test asserts websocket-transport support that the staged module explicitly rejects with ValueError, and it expects an error message (""Unsupported transport ... Use 'stdio', 'sse', or 'websocket'"") that does not match the implementation's actual text. The test file and module are both new in the staged change, so the PR introduced a non-functional test suite.",1,1,False,completed,confirmed_valid,yes,yes,yes,,,新测试 run_mcp_server(mcp_server=...) 使用了函数不支持的关键字参数。,,model_retained,confirmed_valid,confirmed_valid,,source_and_independent_rereview_agreement
qalert-0058da3aa8961648627d7636,1,adjcase-b6230d84edcb0924ad79ff07,ai,mendableai/firecrawl,1851,3263622772,TypeScript,feat,a9fa2f0aa5f9ac9cd4d8cfec07c7789b6a3690e6,2b185b8500bda4637c67a380f90bc74be626184d,quality,true,js/automatic-semicolon-insertion,Semicolon insertion,recommendation,very-high,maintainability,quality|maintainability|readability|language-features|statistical|non-attributable,apps/api/src/controllers/v2/crawl-status.ts,270,Avoid automated semicolon insertion (96% of all statements in [the enclosing function](1) have an explicit semicolon).,"{""primaryLocationLineHash"": ""60b2107b67bda9d:1"", ""primaryLocationStartColumnFingerprint"": ""-6""}",fingerprint,2,ai,314,adjbatch-41ef03de128854910212be6f,1,ccaf192984dda2559b9df0247f29333dd07a3fc9799d1c28bcb58db62587e254,yes,yes,yes,should_fix,high,"[{""explanation"":""Closing parenthesis at line 270 ends creditsUsed assignment without semicolon, relying on ASI"",""file"":""apps/api/src/controllers/v2/crawl-status.ts"",""line"":270,""revision"":""head""},{""explanation"":""Next line closes else block, confirming statement ends at line 270 without explicit semicolon"",""file"":""apps/api/src/controllers/v2/crawl-status.ts"",""line"":271,""revision"":""head""}]","The creditsUsed assignment ending at line 270 lacks an explicit semicolon and relies on ASI. The file is newly added and 96% of statements in the function have explicit semicolons, making this inconsistent. Should be fixed for style consistency.",1,1,False,completed,confirmed_valid,yes,yes,yes,,,apps/api/src/controllers/v2/crawl-status.ts 第 270 行由本 PR 引入的语句末尾缺少显式分号；该文件其他语句以显式分号为主，属于真实的一致性/可维护性问题。,,model_retained,confirmed_valid,confirmed_valid,,source_and_independent_rereview_agreement
qalert-00628ad24956c89dde0eb24b,1,adjcase-af56df6616bdc50e2294015d,human,mendableai/firecrawl,1206,2345558913,TypeScript,feat,0eff99007aa1ea1c54234610092f41c8ec3b0b23,8caeab269129a7b40db9dda16c761d13fe71069d,quality,true,js/unused-local-variable,"Unused variable, import, function or class",recommendation,very-high,maintainability,quality|maintainability|useless-code,apps/api/src/lib/concurrency-limit.ts,1,Unused import CONCURRENCY_LIMIT.,"{""primaryLocationLineHash"": ""e5d227f70cb81b:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,human,2428,adjbatch-3668fff6391bab734576099e,1,04d0f534d9a244d4f32c902768624916e69a08e0d8f54702f728b145810cc36e,yes,yes,yes,should_fix,high,"[{""explanation"":""CONCURRENCY_LIMIT is imported but never referenced in the file body"",""file"":""apps/api/src/lib/concurrency-limit.ts"",""line"":1,""revision"":""head""}]",The import CONCURRENCY_LIMIT was added in the staged changes but is not used anywhere in the file. It should be removed to maintain code cleanliness.,1,1,False,completed,confirmed_valid,yes,yes,yes,,,本 PR 新增 import CONCURRENCY_LIMIT，concurrency-limit.ts 全文未使用该符号。,,model_retained,confirmed_valid,confirmed_valid,,source_and_independent_rereview_agreement
qalert-006829c30865ab6925ff7817,1,adjcase-46048a7838d981fc8decbe3d,human,appsmithorg/appsmith,38526,2265358590,TypeScript,feat,e825f5d8c478ca128e4e078b713041cebf77229e,e0e76d69b47a10c55614ce44668809982cf48749,quality,true,js/overwritten-property,Overwritten property,error,very-high,correctness_reliability,quality|reliability|correctness|external/cwe/cwe-563,app/client/cypress/locators/AdminsSettings.js,37,This property is overwritten by [another property](1) in the same object literal.,"{""primaryLocationLineHash"": ""72dd788c458006d5:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,human,3975,adjbatch-6ad9538c0f523a29cec26e26,1,1b43a84e391e91113e1bbeed7be9c3292e050c82c8333e8df489f7b61e597925,yes,yes,yes,should_fix,high,"[{""explanation"":""`businessTag: \""[data-testid='t--business-tag']\"",` is defined first and is dead because a later key with the same name wins."",""file"":""app/client/cypress/locators/AdminsSettings.js"",""line"":37,""revision"":""head""},{""explanation"":""Staged addition `businessTag: \"".business-tag\"",` overwrites the earlier key with a different selector value."",""file"":""app/client/cypress/locators/AdminsSettings.js"",""line"":70,""revision"":""head""},{""explanation"":""Existing spec asserts on `cy.get(adminsSettings.businessTag)` (also at lines 43, 53, 116, 131), so it now silently resolves `.business-tag` instead of `[data-testid='t--business-tag']`."",""file"":""app/client/cypress/e2e/Regression/Enterprise/AdminSettings/Admin_Settings_NoAccess_spec.js"",""line"":36,""revision"":""head""}]","Unlike the `appsmithLogo` duplicate, this staged key redefines `businessTag` with a different selector, so the original `[data-testid='t--business-tag']` value is unreachable and the five existing assertions in Admin_Settings_NoAccess_spec.js are silently repointed to a different DOM matcher. That is a real reliability defect the maintainers should repair by using a distinct key name; scope is limited to the Cypress suite rather than production, so it is should_fix rather than merge-blocking.",1,1,False,completed,confirmed_valid,yes,yes,yes,,,AdminsSettings.js 第 37 行 businessTag 是 [data-testid=t--business-tag]。本 PR 在对象末尾又写 businessTag: .business-tag，后者覆盖前者，选择器还不一致。,,model_retained,confirmed_valid,confirmed_valid,,source_and_independent_rereview_agreement
qalert-010ad398ec81a12da56e8894,1,adjcase-e3643904e0e9993b0eba57e1,ai,microsoft/typespec,7426,3081186157,Java,feat,2d139cc915f8023ce7950032e8cc52339644964f,5ef409b54c2c50a97ba51fe852b0df73bf65c573,quality,true,java/useless-tostring-call,Useless toString on String,recommendation,high,maintainability,quality|maintainability|useless-code,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/LibraryCustomization.java,49,Redundant call to 'toString' on a String object.,"{""primaryLocationLineHash"": ""ae398211db0091b0:1"", ""primaryLocationStartColumnFingerprint"": ""14""}",fingerprint,1,ai,681,adjbatch-22f8478f0db8bb4087d18423,2,189affc3936974bb191cb7620521c809f14ce4e7e991caef7ebabf800e7ebf4e,yes,yes,yes,optional,high,"[{""explanation"":""The getUri() method returns String, making the subsequent .toString() call redundant"",""file"":""packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/LibraryCustomization.java"",""line"":49,""revision"":""head""}]","The Location.getUri() method from LSP4J returns a String, so calling toString() on the result is redundant. While harmless, removing it would improve code cleanliness. This is a minor quality issue introduced in the PR's rewrite of getClass().",1,0,False,completed,confirmed_valid,yes,yes,yes,,,getClass 里 si.getLocation().getUri() 已是 String，再 .toString() 是多余调用。,,model_retained,confirmed_valid,confirmed_valid,,source_and_independent_rereview_agreement
qalert-0115ace927056dab6d3f06fb,1,adjcase-de708e97a14ce188891669f7,ai,crewAIInc/crewAI,2476,2949364196,Python,fix,0b58911153a545c495ed3667933d7ec01c097217,3deeba4cab96727c8ba2e2405a08c466f5b2b3fe,quality,true,py/unused-local-variable,Unused local variable,recommendation,very-high,maintainability,quality|maintainability|useless-code|external/cwe/cwe-563,tests/test_multimodal_validation.py,46,Variable crew is not used.,"{""primaryLocationLineHash"": ""f32c1ba13d16c0a8:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,24,adjbatch-cd4d11123d30c72410561791,1,db1c9dda3cc58535f19603970f60298c35151d68aa3419c76bac9c8f88565bac,yes,yes,yes,should_fix,high,"[{""explanation"":""crew = Crew(agents=[expert_analyst], tasks=[inspection_task]) is the final statement in the function; the variable is never read or passed anywhere after assignment, so the Crew is constructed but never executed."",""file"":""tests/test_multimodal_validation.py"",""line"":46,""revision"":""head""},{""explanation"":""The function is decorated with @pytest.mark.skip but is intended to be run manually with valid API keys; even when the skip is removed the test body never calls crew.kickoff() or any method, making it a no-op that verifies nothing."",""file"":""tests/test_multimodal_validation.py"",""line"":8,""revision"":""head""}]","The file is newly introduced by the PR (new file in the diff). At line 46, `crew` is assigned but never subsequently used — no `.kickoff()` or any other method call follows. In a test function whose stated purpose is to verify multimodal agent processing, omitting the execution step means the test exercises no actual behavior and cannot catch regressions. This is a real maintainability/correctness problem: the test is silently incomplete. A `crew.kickoff()` call (with appropriate assertion or error handling) is needed to make the test meaningful.",1,1,False,completed,confirmed_valid,yes,yes,yes,,,New multimodal test constructs crew = Crew(...) and never calls kickoff or otherwise uses it.,,model_retained,confirmed_valid,confirmed_valid,,source_and_independent_rereview_agreement
qalert-011646fed8cf0314f7bb5732,1,adjcase-b3d564cb6aea795578fe4b51,human,prebid/Prebid.js,13093,2513475786,JavaScript,feat,3c0c769590c7eb60a86c950492300e7c36d68dbc,55cea5322179510742bce9e2a3783988d93a36f5,quality,true,js/automatic-semicolon-insertion,Semicolon insertion,recommendation,very-high,maintainability,quality|maintainability|readability|language-features|statistical|non-attributable,modules/pubmaticBidAdapter.js,437,Avoid automated semicolon insertion (90% of all statements in [the enclosing function](1) have an explicit semicolon).,"{""primaryLocationLineHash"": ""1dcf4157366cdd39:1"", ""primaryLocationStartColumnFingerprint"": ""-12""}",fingerprint,1,human,3079,adjbatch-f9cff3f9fcc6c242d2ae8abc,1,1b4a75c67be7e0d3aee6a7b2c2b94ccfa7f6a57e8aeb361de8a470eabb7a41b1,yes,yes,yes,should_fix,high,"[{""explanation"":""Object literal closing brace lacks semicolon: `}` without `;` after aspectratios assignment"",""file"":""modules/pubmaticBidAdapter.js"",""line"":437,""revision"":""head""},{""explanation"":""The enclosing if-block at line 434-438 shows the object literal closing with `}` instead of `};`"",""file"":""modules/pubmaticBidAdapter.js"",""line"":435,""revision"":""head""}]","The staged change introduces a multi-line object literal at lines 435-437 that ends with `}` instead of `};`. The enclosing function uses explicit semicolons in 90% of statements, making this inconsistent with the local style. This is a new code block added by the PR.",1,1,False,completed,confirmed_valid,yes,yes,yes,,,modules/pubmaticBidAdapter.js 第 437 行由本 PR 引入的语句末尾缺少显式分号；该文件其他语句以显式分号为主，属于真实的一致性/可维护性问题。,,model_retained,confirmed_valid,confirmed_valid,,source_and_independent_rereview_agreement
