case_id,repo_name,pr_number,group,source_run,review_path,finding_count,run_requested_model,case_requested_model,sdk_reported_models,model
case-bd5b217579b468056361,airbytehq/airbyte,55005,ai,C,reviews/case-bd5b217579b468056361/review_response.json,9,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-5d259ad82985046d8794,Kiln-AI/Kiln,210,human,C,reviews/case-5d259ad82985046d8794/review_response.json,9,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-9dbfa7a0c3210e05dad8,langchain-ai/langsmith-sdk,1694,human,C,reviews/case-9dbfa7a0c3210e05dad8/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-8e3569ec12253aacd7c7,jina-ai/node-DeepResearch,29,ai,C,reviews/case-8e3569ec12253aacd7c7/review_response.json,7,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-9597ed92b1be9122fd86,reflex-dev/reflex,5069,human,C,reviews/case-9597ed92b1be9122fd86/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-aa2cbfc9848aab44dd69,getsentry/sentry,92762,human,C,reviews/case-aa2cbfc9848aab44dd69/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-986e3a0cdc17b46ae30a,OpenHFT/Chronicle-Wire,1059,ai,C,reviews/case-986e3a0cdc17b46ae30a/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-1cee12de60b9ec498450,Azure/azure-storage-azcopy,3010,human,C,reviews/case-1cee12de60b9ec498450/review_response.json,11,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-7c6f0f53534b13a179ae,crewAIInc/crewAI,2408,human,C,reviews/case-7c6f0f53534b13a179ae/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-82870bc3110df4617202,prebid/Prebid.js,12839,human,C,reviews/case-82870bc3110df4617202/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-33116a254af11ba01af8,ArthurSonzogni/FTXUI,1015,human,C,reviews/case-33116a254af11ba01af8/review_response.json,7,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-a4fa4865dc303b1dca39,mlflow/mlflow,14689,human,C,reviews/case-a4fa4865dc303b1dca39/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-0dae88f83e73408565ec,willccbb/verifiers,166,ai,C,reviews/case-0dae88f83e73408565ec/review_response.json,12,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-ab37a0754d9da12ed40c,crewAIInc/crewAI,3060,ai,C,reviews/case-ab37a0754d9da12ed40c/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-554adcd81abcd45211d3,sam-goodwin/alchemy,406,ai,transport_retry_1/C,reviews/case-554adcd81abcd45211d3/review_response.json,5,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-cb2aa3ca3fcfec607cfe,mendableai/firecrawl,1840,ai,C,reviews/case-cb2aa3ca3fcfec607cfe/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-ceeab167e6eb9cc30b63,crewAIInc/crewAI,2851,human,C,reviews/case-ceeab167e6eb9cc30b63/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-876b04abf7d9fca64331,airbytehq/airbyte,60252,ai,C,reviews/case-876b04abf7d9fca64331/review_response.json,9,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-7cf6b8b222a8054d4a1c,wandb/weave,4552,ai,C,reviews/case-7cf6b8b222a8054d4a1c/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-4bdf822f70334d0f1dc2,mlflow/mlflow,16551,ai,C,reviews/case-4bdf822f70334d0f1dc2/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-70e2ad7555f8d7f01060,prebid/Prebid.js,12972,human,C,reviews/case-70e2ad7555f8d7f01060/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-0f974a189406b0e9fdff,OneKeyHQ/app-monorepo,7071,human,C,reviews/case-0f974a189406b0e9fdff/review_response.json,2,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-656157e34a42feec3ad8,OpenHFT/Chronicle-Wire,1062,ai,C,reviews/case-656157e34a42feec3ad8/review_response.json,8,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-0eb420b020d66fb3faa1,3rdIteration/btcrecover,613,ai,C,reviews/case-0eb420b020d66fb3faa1/review_response.json,2,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-7d141ea370270a99cd74,ikamensh/flynt,226,ai,C,reviews/case-7d141ea370270a99cd74/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
