case_id,model_finding_id,initial_adjudicator_type,initial_codeql_relation,initial_matched_reference_ids,initial_relation_confidence,initial_relation_rationale,final_codeql_relation,final_matched_reference_ids,human_review_status,final_decision_source,reviewer_role,source_row_sha256
case-00977e0ec8aff7fcb678,mf-13801105e50bcb09f499,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,6851f96d2d9a819b7e591c4ef29c735d2a8694e7495cd8f362984c09d3859975
case-00977e0ec8aff7fcb678,mf-c1816aad0ac7a28c8203,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,ac55338eabcd75f10e62ce5dc053e4bad459e4374efbddd3f210b58b72809221
case-0e7910d93b1d2321cee6,mf-84869a37090263a9e055,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,5369ba30f9d38ea25e5e4bdc046310ff53aef7ef762219c86bf1acddbce39f3f
case-0e7910d93b1d2321cee6,mf-4e79a0440b5544fc746a,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,248a8388b2bd3e1197a1751b7cad129ac907d7422cc28181539d06ee3bee174f
case-210bb7200d289a3d2aa0,mf-0a12b0c6986a67b80f8b,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,51f91ad9569efca7ed7a3fedb45b9a7b498cd687625d0bf0d552fceed0aeb8dd
case-210bb7200d289a3d2aa0,mf-2bf6ad949922ecc0b946,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,a067817c437862d11a994b021e54afbfd83ef62c9a24d4cf57fea7db4423611e
case-210bb7200d289a3d2aa0,mf-600d81be1f58ca8612ed,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,65444919e23bbbc857cbbc3b4d04eb4554c4af49e77ed50f00ba37381ccc157e
case-210bb7200d289a3d2aa0,mf-93ac482e6b836def360e,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,efd89ee359af26800a48080c271ef0e823298141082df525526b63f3495d1f75
case-22b5befc227597e10e1c,mf-8f3eec0bcc61facde566,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,c5bc49ebfccc499e1ec9d01d12058f5d727ccf1f6baa27edb783c32203c9c005
case-22b5befc227597e10e1c,mf-6f413a38154d138657bc,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,ed5838fd1310f8919f65272fdb0e90667009758e92eea8255e935a108ea3c016
