root_cause_category,mechanism_subcategory,cluster_n,alert_n,pr_n
incomplete_change_coordination,unintegrated_element_in_new_code,192,281,128
incomplete_change_coordination,incomplete_cleanup_after_modification,61,118,52
redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,55,92,45
control_state_or_dataflow_miscomposition,state_initialization_or_liveness_gap,21,32,20
control_state_or_dataflow_miscomposition,invalid_or_trivial_control_path,20,30,19
redundant_or_locally_inconsistent_construction,local_syntax_style_or_annotation_inconsistency,15,27,15
dependency_error_or_resource_mismanagement,missing_or_overbroad_failure_handling,12,27,10
dependency_error_or_resource_mismanagement,dependency_cycle_or_duplicate_path,9,31,8
interface_or_contract_mismatch,api_lifecycle_or_declaration_mismatch,5,74,4
interface_or_contract_mismatch,override_or_type_contract_mismatch,5,12,5
dependency_error_or_resource_mismanagement,incomplete_resource_lifecycle,4,5,4
incomplete_change_coordination,inconsistent_propagation_across_dependent_sites,4,22,4
control_state_or_dataflow_miscomposition,invalid_expression_or_value_composition,3,5,3
interface_or_contract_mismatch,caller_callee_signature_mismatch,3,10,3
interface_or_contract_mismatch,export_documentation_or_metadata_mismatch,3,9,3
