case_id,model_finding_id,file,line,summary,failure_scenario,match_status,candidate_reference_n,silver_finding_id,matched_reference_family,matched_rule_id
case-00977e0ec8aff7fcb678,mf-13801105e50bcb09f499,static/app/views/replays/detail/ai/ai.tsx,61,"Seer setup check loading/error states not handled: orgHasAcknowledged defaults to false, indistinguishable from 'not acknowledged', causing misleading CTA during loading and deadlocked feature on API error","User visits replay detail page. The seer setup check API is loading or returns an error (network failure, 503). setupAcknowledgement.orgHasAcknowledged stays false. The component shows the 'View Seer Settings' CTA instead of a loading/error indicator, and the summary query (useFetchReplaySummary) stays permanently disabled because its enabled condition requires orgHasAcknowledged===true. Even though the org already acknowledged Seer, the feature appears broken with a misleading CTA. The component should destructure and check isPending/isError from useOrganizationSeerSetup to differentiate 'still loading' and 'API errored' from 'genuinely not acknowledged'.",unmatched_to_codeql,0,,,
case-00977e0ec8aff7fcb678,mf-c1816aad0ac7a28c8203,static/app/views/replays/detail/layout/focusTabs.tsx,57,useOrganizationSeerSetup() fires an unnecessary API request to /organizations/{slug}/seer/setup-check/ when only the synchronously-computed areAiFeaturesAllowed value is used,"FocusTabs component mounts and calls useOrganizationSeerSetup(), which triggers an API query with staleTime:0. The component only destructures areAiFeaturesAllowed (computed synchronously as !organization.hideAiFeatures && organization.features.includes('gen-ai-features')). The API response (billing, setupAcknowledgement) is never read. This causes an unnecessary network request on every mount and window refocus, and triggers an unnecessary re-render when the API resolves. The value could be computed locally: areAiFeaturesAllowed = !organization.hideAiFeatures && organization.features.includes('gen-ai-features'). If the API call is intentionally desired (e.g., to warm the cache for ai.tsx), pass {enabled: false} to useOrganizationSeerSetup to make intent explicit and avoid the wasted fetch.",unmatched_to_codeql,0,,,
case-0e7910d93b1d2321cee6,mf-84869a37090263a9e055,webviews/components/header.tsx,149,"Missing try/finally in CancelCodingAgentButton.cancel: if cancelCodingAgent rejects, setBusy(false) is never called and the button spinner runs forever","User clicks 'Cancel Coding Agent'. setBusy(true) fires, showing the spinner. The underlying cancelCodingAgent message-passing promise rejects (e.g., network fault, extension deactivation, timeout). The rejected promise unwinds without running setBusy(false). The button remains disabled with a spinning icon permanently until the webview is reloaded. The CheckoutButton.onClick in the same file (line 248) correctly wraps the async body in try/finally for exactly this reason.",unmatched_to_codeql,0,,,
case-0e7910d93b1d2321cee6,mf-4e79a0440b5544fc746a,webviews/components/contextDropdown.tsx,43,"onHideAction is recreated every render; removeEventListener in the else branch passes a fresh function reference that never matches the one added, leaking click+keydown listeners on document with every open/close cycle","User opens the dropdown (split-right click). Two listeners (click, keydown) are added to document via addEventListener wrapping the current render's onHideAction. User clicks outside to dismiss. The effect re-runs with expanded=false and calls removeEventListener with a newly-created function wrapping a newly-created onHideAction -- a different reference from the one that was added. The old listeners remain permanently. Repeat 50 open/close cycles: 100 leaked listeners fire on every document click/keydown (all no-ops, but waste memory and add per-event overhead). The effect also has no cleanup function returned, so listeners from the final expanded=true state survive component unmount.",unmatched_to_codeql,0,,,
case-210bb7200d289a3d2aa0,mf-0a12b0c6986a67b80f8b,src/crewai/flow/persistence/decorators.py,165,"Class-level @persist checks for __is_flow_method__ but flow methods decorated only with @start()/@listen()/@router() lack this attribute, so class-level @persist silently wraps zero methods and never persists state","User applies @persist at class level with @start()-decorated methods as documented — the loop at line 164 finds no matching methods because __is_flow_method__ is only set by method-level @persist, not by @start() which sets __is_start_method__. Result: flow state is never persisted despite the decorator being present. This is a pre-existing defect in code touched by the PR's refactoring of _persist_state to PersistenceDecorator.persist_state.",unmatched_to_codeql,0,,,
case-210bb7200d289a3d2aa0,mf-2bf6ad949922ecc0b946,src/crewai/flow/persistence/decorators.py,164,Python closure captures loop variable 'method' by reference; all class_async_wrapper/class_sync_wrapper closures created in the for loop at line 164 would call the last iterated method instead of their intended method,"If class-level @persist matched multiple flow methods (e.g., after fixing the attribute-check bug), the for loop iterates methods A then B. Both wrappers capture `method` from the closure; when either wrapper is called, `method` resolves to B (the last value). Method A's wrapper erroneously calls method B. Pre-existing but the PR touches the code inside these closures (replacing _persist_state with PersistenceDecorator.persist_state at lines 175 and 182).",unmatched_to_codeql,0,,,
case-210bb7200d289a3d2aa0,mf-600d81be1f58ca8612ed,src/crewai/flow/persistence/decorators.py,124,"Except (TypeError, ValueError) at line 124 catches ValueError('Flow instance has no state') raised at line 93 and replaces it with the generic 'id_missing' error message, masking the true cause","A flow method decorated with @persist is called but the flow instance has no state attribute. At line 92 state is None, line 93 raises ValueError('Flow instance has no state'). This is caught by the broad except (TypeError, ValueError) at line 124 which substitutes LOG_MESSAGES['id_missing'] ('Flow state must have an id field for persistence'). The user sees a misleading error about a missing id when the real problem is that there is no state at all. This is a regression from the old _persist_state function which preserved the original message via str(e) in the RuntimeError.",unmatched_to_codeql,0,,,
case-210bb7200d289a3d2aa0,mf-93ac482e6b836def360e,src/crewai/flow/flow.py,661,"flow_id property returns 'None' (the literal string) when state's id key exists but holds None, because dict.get('id', '') returns the actual value (None) when the key exists, and str(None) produces the string 'None'","A flow's state dict contains {'id': None, ...} (possible via _initialize_state with kwargs id=None or a persisted state that stored a null ID). Accessing flow.flow_id returns the string 'None' instead of an empty string, violating the documented contract that an empty string is returned when the id is not found. Downstream code checking for a truthy flow_id would be misled — 'None' is truthy unlike ''.",unmatched_to_codeql,0,,,
case-22b5befc227597e10e1c,mf-8f3eec0bcc61facde566,modules/debugging/bidInterceptor.js,162,paapiReplacer missing return in else branch causes TypeError crash when paapiDef is truthy but not an array or function,"A bid interception rule with paapi: 'invalid' (truthy string) passes through the array/func checks, logs an error, but returns undefined. When intercept() later calls match.rule.paapi(match.bid, bidRequest), it throws 'TypeError: match.rule.paapi is not a function'.",unmatched_to_codeql,0,,,
case-22b5befc227597e10e1c,mf-6f413a38154d138657bc,modules/debugging/bidInterceptor.js,247,intercept() calls addPaapiConfig unconditionally via forEach but JSDoc marks it optional -- throws TypeError if not provided and mockPaapi is non-empty,"Call intercept({bids: [...], bidRequest: {...}, addBid: fn, done: fn}) without addPaapiConfig when a matching rule has a non-empty PAAPI config array. mockPaapi.forEach(cfg => addPaapiConfig(...)) throws 'TypeError: addPaapiConfig is not a function'.",unmatched_to_codeql,0,,,
case-22b5befc227597e10e1c,mf-3c151d43a6f06111cede,modules/gppControl_usstates.js,55,normalizer inner function accesses cd[field] without null guard -- TypeError when consent data is null or undefined,"When no GPP section data exists for a state, getConsentData()?.parsedSections?.[api] evaluates to undefined, flatSection(undefined) returns undefined, and the normalizer's inner function executes cd[field] on undefined consent data, throwing 'TypeError: Cannot read properties of undefined' at the Array.isArray(cd[field]) check.",unmatched_to_codeql,0,,,
case-22b5befc227597e10e1c,mf-7129e16ce9786ad7ca8f,modules/kinessoIdSystem.js,220,"JSDoc return type changed from {knssoId} to {string|undefined} but getId returns an object {id: string}, not a string",Developers reading the JSDoc expect getId() to return a plain string or undefined; it actually returns {id: string} on success. Callers checking typeof result === 'string' would incorrectly treat a valid result as invalid.,unmatched_to_codeql,0,,,
case-22b5befc227597e10e1c,mf-5e3c7221156f54a2b44e,modules/adotBidAdapter.js,155,JSDoc @param {BidderRequest} bidderRequest added to getOpenRTBExtObject which takes zero parameters,"Developers reading the JSDoc believe they must pass a bidderRequest argument; the function signature accepts none, so any passed argument is silently ignored. This is a documentation regression introduced by the PR.",unmatched_to_codeql,0,,,
case-22b5befc227597e10e1c,mf-50cf57f4fd4f7d9fbb04,modules/medianetBidAdapter.js,529,"JSDoc says @param {Object} bid but the actual onTimeout function parameter is named timeoutData, not bid",Developers reading the JSDoc reference the parameter as 'bid' in their mental model; the actual parameter name available at runtime is timeoutData. The previous JSDoc had the correct parameter name timeoutData; this is a regression introduced by the PR.,unmatched_to_codeql,0,,,
case-2a05c6f1f5871c732fc9,mf-1d853c4a8a5e49c3895e,packages/http-client-csharp/eng/scripts/Add-Debug-Profile.ps1,196,"Copy-LocalGeneratorDlls uses $MyInvocation.PSCommandPath to locate the script, which resolves to the caller's path under dot-sourcing, causing $packageRoot (and all derived paths: $sourceDir, solution path) to point to the wrong location silently",Script is dot-sourced from <HOME>/helper.ps1 (a common pattern for reusing script functions) -> $MyInvocation.PSCommandPath inside Copy-LocalGeneratorDlls returns <HOME>/helper.ps1 -> $scriptDir = <HOME> -> $packageRoot = /home -> $sourceDir = <HOME>/generator (does not exist) -> all three DLL copy operations fail with 'Source DLL not found' warnings -> script continues and creates a debug profile pointing to empty/missing DLLs -> user tries to debug and dotnet fails with 'Cannot find assembly',unmatched_to_codeql,0,,,
case-2a05c6f1f5871c732fc9,mf-d1e89d01a8fab57897be,packages/http-client-csharp/eng/scripts/Add-Debug-Profile.ps1,263,DLL path constructed via string interpolation with hardcoded forward slashes produces mixed-separator paths on Windows when $resolvedSdkPath from Resolve-Path uses backslashes,"On Windows, Resolve-Path returns '<WINDOWS_USER_PATH>' -> $dllPath becomes '""<WINDOWS_USER_PATH>/TempTypeSpecFiles/node_modules/@azure-typespec/http-client-csharp/dist/generator/Microsoft.TypeSpec.Generator.dll""' -> the mixed-slash path embedded in the JSON launchSettings.json profile -> some path-consuming tools or scripts that post-process the launchSettings.json may fail to parse the non-canonical path",unmatched_to_codeql,0,,,
case-2a05c6f1f5871c732fc9,mf-548197042f1d7c4448cb,packages/http-client-csharp/eng/scripts/Add-Debug-Profile.ps1,197,"Copy-LocalGeneratorDlls and Get-LaunchSettingsPath duplicate the same package-root computation from the script location using different approaches ($MyInvocation.PSCommandPath chain vs $PSScriptRoot + Resolve-Path), creating a maintenance hazard if the script moves or directory layout changes","If the script is relocated from eng/scripts/ to a different depth (e.g., tools/), the Split-Path parent-chain logic on line 197 must be updated to match the new depth, but a developer might only notice and update one of the two locations (line 124 vs line 197) -> one function produces a wrong $packageRoot -> either launchSettings.json is written to the wrong file OR DLLs are copied from/to the wrong directory",unmatched_to_codeql,0,,,
case-2ae54e3d2402891653c9,mf-5dd36c15fb01f0a88cf4,static/app/gettingStartedDocs/javascript/react-router.tsx,510,Missing test file (react-router.spec.tsx) -- violates CLAUDE.md rule requiring tests alongside components,"All 13 other JS framework docs in this directory have collocated .spec.tsx files. Without tests, regressions in the full onboarding flow (client setup, server setup, replay, feedback, profiling configs) for the React Router platform will not be caught by the test suite. CLAUDE.md lines 312-313 state: '5. ALWAYS colocate tests'.",unmatched_to_codeql,0,,,
case-2ae54e3d2402891653c9,mf-1bc78d1f9da105634f70,static/app/gettingStartedDocs/javascript/react-router.tsx,498,Missing featureFlagOnboarding in Docs export -- all 14 other JS framework docs include it,"javascript-react-router is included in featureFlagOnboardingPlatforms (derived filter) so the sidebar will open for this platform, but the loaded docs module lacks featureFlagOnboarding. The FeatureFlagOnboardingLayout falls back to docsConfig.onboarding (line 41 of featureFlagOnboardingLayout.tsx), so users get generic onboarding instead of platform-specific feature flag setup instructions. Every other JS framework doc (react, nextjs, remix, vue, angular, astro, ember, gatsby, nuxt, solid, solidstart, svelte, sveltekit, tanstackstart-react) includes this config.",unmatched_to_codeql,0,,,
case-2ae54e3d2402891653c9,mf-ff53c84e0079e4c0e2af,static/app/gettingStartedDocs/javascript/react-router.tsx,191,Unused import: 'Route' type imported but never referenced in getVerifySnippet,"The verify snippet imports 'import type { Route } from ""./+types/error-page""' but the Route type is never used in the loader or component body. This dead import appears in the rendered documentation, potentially confusing users about whether Route is needed. Low severity but unnecessary code in a user-facing snippet.",unmatched_to_codeql,0,,,
case-337b59edf712fccfe514,mf-619a5f9794a756618cc5,apps/api/src/controllers/v1/types.ts,34,"Hash fragment silently stripped from URLs that contain query parameters, while URLs without query parameters preserve their hash","A user submits `https://example.com/page?ref=search#section-anchor` -- the preprocess returns `https://example.com/page?ref=search` with the hash fragment dropped. But `https://example.com/page#section-anchor` (no query params) falls through to `return x` on line 39 and keeps its hash. For SPAs using hash routing (React Router hash history) or pages where the hash anchors to a specific element, the scraper navigates to the wrong content.",unmatched_to_codeql,0,,,
case-337b59edf712fccfe514,mf-acfc5a04c490cbfa2f02,apps/api/src/controllers/v1/types.ts,34,Embedded authentication credentials (user:password@) silently stripped because urlObj.origin excludes username and password,A user submits `http://protected.example.com/data?format=json` to access a basic-auth-protected endpoint via URL credentials. The preprocess returns `http://protected.example.com/data?format=json` -- the credentials are dropped. The downstream HTTP request fails with 401 Unauthorized.,unmatched_to_codeql,0,,,
case-337b59edf712fccfe514,mf-2a781417389326b186aa,apps/api/src/controllers/v1/types.ts,33,"URLSearchParams adds '=' to query parameters that have no explicit value, changing semantics for some server-side parsers","A user submits `https://api.example.com/endpoint?debug&compact` where the target server treats bare keys as boolean flags (presence = true). After the preprocess, the URL becomes `https://api.example.com/endpoint?debug=&compact=`. Server frameworks like Express parse `?debug` as `undefined` (key present, no value) but `?debug=` as `""""` (empty string). The scraped response differs because the server interprets the normalized parameters differently.",unmatched_to_codeql,0,,,
case-337b59edf712fccfe514,mf-e9637b78a3d68abe2207,apps/api/src/controllers/v1/types.ts,36,"Empty catch block swallows all exceptions from the try block, hiding errors from new URL() parsing failures and any programming mistakes","A future code change introduces a typo or type error inside the try block (e.g., a mistyped property access on urlObj). The error is silently discarded by `catch (e) {}` with no logging, and the original `x` is returned. The bug goes undetected -- zod validation may or may not catch it downstream, and there is no error trace for debugging.",unmatched_to_codeql,0,,,
case-3579bc98fa0e953b64f7,mf-30f32a0977aea9d3d747,autogpt_platform/backend/backend/blocks/google/gmail.py,177,"Search query is silently dropped when credentials contain gmail.metadata scope alongside full-access scopes (e.g., gmail.readonly). The check uses membership (`in`) instead of verifying metadata is the exclusive scope.","GmailReadBlock with query='is:unread', max_results=5; credentials.scopes=['https://www.googleapis.com/auth/gmail.readonly','https://www.googleapis.com/auth/gmail.metadata'] -> query is not added to list() kwargs, the API returns all messages unfiltered instead of only unread.",unmatched_to_codeql,0,,,
case-3579bc98fa0e953b64f7,mf-4fc648e96741f6fcc33a,autogpt_platform/backend/backend/blocks/google/gmail.py,185,Message/thread format forced to 'metadata' (stripping email bodies) when gmail.metadata scope is present alongside full-access scopes. Same membership-check flaw: user has full read permission but gets empty bodies.,"credentials.scopes=['gmail.readonly','gmail.metadata']; GmailReadBlock or GmailGetThreadBlock calls messages.get() with format='metadata' -> all message bodies return 'This email does not contain a text body.' despite the user having full gmail.readonly access that supports format='full'. Same defect exists in _get_thread at line 592.",unmatched_to_codeql,0,,,
case-3579bc98fa0e953b64f7,mf-304226469be09976571c,autogpt_platform/backend/backend/blocks/google/gmail.py,249,_get_attachments crashes with KeyError on metadata-format messages because part['body']['attachmentId'] is absent in metadata-format API responses. The PR introduces metadata-format responses but does not guard attachment processing.,"Message with attachments fetched with format='metadata' (triggered by the scope-check defect above); _get_attachments iterates parts, finds a part with filename=True, then accesses part['body']['attachmentId'] -> KeyError because metadata-format body dicts only contain 'size', not 'attachmentId'. Same defect in GmailGetThreadBlock._get_attachments at line 658.",unmatched_to_codeql,0,,,
case-4bdf822f70334d0f1dc2,mf-dc7c937399e82231dd08,.github/workflows/preview-comment.js,18,"No pagination on comment listing: listComments with only per_page=100 silently truncates at 100 comments, missing the existing marker comment on busy PRs and creating duplicate preview comments on every subsequent run.","A PR accumulates more than 100 comments. The existing <!-- documentation preview --> marker comment falls beyond the first 100 fetched by listComments({ per_page: 100 }). The script finds no existing comment, so it creates a new one. Each subsequent workflow run repeats this, accumulating duplicate preview comments. The codebase standard pattern (used in cancel.js, labeling.js, protect.js, etc.) wraps the REST call with github.paginate() to exhaust all pages; this code does not.",unmatched_to_codeql,0,,,
case-4bdf822f70334d0f1dc2,mf-ec6c7546059e682c960b,.github/workflows/preview-docs.yml,73,jq returns the literal string 'null' when netlify-cli --json output lacks a deploy_url field; the truthy string passes JS validation and produces a broken preview link in the comment.,"The netlify-cli deploy --json command succeeds but its JSON output lacks a deploy_url field (e.g., a version change in the CLI). jq -r '.deploy_url' outputs the literal string 'null'. DEPLOY_URL='null' is written as a step output. The deploy step outcome is 'success', so STAGE='completed'. In the JS code, the check !netlifyUrl evaluates to false (the string 'null' is truthy), so validation passes. The resulting PR comment contains 'Documentation preview is available at: - null' -- a broken, non-functional link.",unmatched_to_codeql,0,,,
case-525cca57fa45a53cdf40,mf-85547bb09960bb772937,src/tools/getURLIndex.ts,3,"Record accepts only 2 type parameters, but 3 are provided (string, SearchResult['url'], QueryResult['query']), causing a TypeScript compilation error that prevents tsc from succeeding.","Running `npm run build` (which invokes `tsc`) on this codebase fails with error TS2558: Expected 2 type arguments, but got 3. The return type annotation `Record<string, SearchResult['url'], QueryResult['query']>` should be `Record<string, string>` (the original type before this refactoring) — passing 3 generic arguments to the built-in `Record<K, V>` utility type is invalid TypeScript.",unmatched_to_codeql,0,,,
case-554adcd81abcd45211d3,mf-2f57e692c564d02712c5,alchemy/src/stripe/price.ts,483,Falsy-zero data loss: tier output mapping uses `|| undefined` which converts `unit_amount: 0` (meaningful free tier) to `undefined`,"User creates a tiered price with a free tier (`unitAmount: 0`). Stripe returns `unit_amount: 0` on the tier. The output mapping on line 483 evaluates `0 || undefined` as `undefined`, so the returned Price object shows no `unitAmount` for that tier. Downstream code (e.g., billing calculations, UI display of tier rates) treats the tier as having no unit price, billing customers incorrectly or displaying incomplete pricing information. The same `||` pattern on line 481 affects `flat_amount: 0` -- a tier capped at $0 charge (e.g., 'no further charges beyond this tier') would silently lose that information.",unmatched_to_codeql,0,,,
