case_id,case_control,target_family,group,repo_name,pr_number,pr_id,language,task_type,changed_kloc,silver_finding_n,matched_positive_case_id,same_repository_match,control_match_score,split,case_target_family,reference_family,reference_role,alert_category,changed_file,codeql_version,is_quality_alert,is_security_alert,location_class,precision,problem_severity,quality_primary_reference,quality_category,reference_visible_in_diff,rule_id,rule_kind,rule_name,start_line,reference_id,automatic_recovered,semantic_recovered,semantic_recovered_by_finding_ids,automatic_semantic_agreement,adjudication_alert_id,human_review_status,human_disposition,validated_issue_reference,quality_strict_reference,quality_broad_reference,rule_tags,base_sha,head_sha,file_path,hunk_header,hunk_new_start,hunk_new_end,lifecycle,reference_on_added_line,reference_visibility_gate_version,reference_tiers,actionability_version,query_suite,original_semantic_recovered
case-7769db528e070342d826,control,security,ai,promptfoo/promptfoo,4054,3071076936,TypeScript,feat,4.232000,0,case-83f2a806231ce243a56f,0,1|0|0.52460638|1,formal,quality,security,off_target_reference,security,True,2.23.2,false,true,production,medium,error,False,,True,js/log-injection,path-problem,Log injection,83,sf-0a2954ebbe0fde099505,0,0,,1,qalert-7641a8f8fc476041c196f8cc,completed,not_valid_issue,0,False,False,security|external/cwe/cwe-117,6aeafe7e69cbb72585738ca07aba5d1c879496b3,49a8b90538522eb8ad4ea61440e0b9688b82cec4,src/models/eval.ts,"@@ -54,6 +57,32 @@ FROM eval_results where eval_id IN (${evals.map((e) => `'${e.id}'`).join(',')}))",57,88,introduced,True,new_side_hunk_v1,security,2.0.0,security-and-quality,0
case-7769db528e070342d826,control,security,ai,promptfoo/promptfoo,4054,3071076936,TypeScript,feat,4.232000,0,case-83f2a806231ce243a56f,0,1|0|0.52460638|1,formal,quality,security,off_target_reference,security,True,2.23.2,false,true,production,medium,error,False,,True,js/log-injection,path-problem,Log injection,200,sf-ab8534b191328dc42f94,0,0,,1,qalert-ab365e058b03f76caffe8aae,completed,confirmed_valid,1,False,False,security|external/cwe/cwe-117,6aeafe7e69cbb72585738ca07aba5d1c879496b3,49a8b90538522eb8ad4ea61440e0b9688b82cec4,src/server/routes/eval.ts,"@@ -163,6 +164,113 @@ evalRouter.patch('/:id/author', async (req: Request, res: Response): Promise<voi",164,276,introduced,True,new_side_hunk_v1,security,2.0.0,security-and-quality,0
case-03011033f32e831010a4,positive,quality,ai,vgmtrans/vgmtrans,612,3147947387,C++,refactor,2.807000,29,,,,formal,quality,quality,target_reference,quality,True,2.23.2,true,false,production,high,recommendation,True,maintainability,True,cpp/commented-out-code,problem,Commented-out code,1004,sf-855b1bfa45a1fa6a6c12,0,0,,1,qalert-56c7d475df684d8e1bf401a3,completed,confirmed_valid,1,False,True,maintainability|documentation,69da9a776a537f0a79717586399da193d4161107,f49f3464a910527e59378da1553d44ddf4716ce8,src/main/formats/KonamiSnes/KonamiSnesSeq.cpp,"@@ -1079,9 +1001,8 @@ bool KonamiSnesTrack::readEvent(void) {",1001,1008,introduced,True,new_side_hunk_v1,primary|broad,2.0.0,security-and-quality,0
case-03011033f32e831010a4,positive,quality,ai,vgmtrans/vgmtrans,612,3147947387,C++,refactor,2.807000,29,,,,formal,quality,quality,target_reference,quality,True,2.23.2,true,false,production,high,recommendation,True,maintainability,True,cpp/commented-out-code,problem,Commented-out code,672,sf-239ffb4cc83fdb8cf563,0,0,,1,qalert-1ce80a6ec4cfab6660fce474,completed,not_pr_introduced,0,False,True,maintainability|documentation,69da9a776a537f0a79717586399da193d4161107,f49f3464a910527e59378da1553d44ddf4716ce8,src/main/formats/RareSnes/RareSnesSeq.cpp,"@@ -707,44 +657,35 @@ bool RareSnesTrack::readEvent(void) {",657,691,introduced,False,new_side_hunk_v1,primary|broad,2.0.0,security-and-quality,0
case-03011033f32e831010a4,positive,quality,ai,vgmtrans/vgmtrans,612,3147947387,C++,refactor,2.807000,29,,,,formal,quality,quality,target_reference,quality,True,2.23.2,true,false,production,high,recommendation,True,maintainability,True,cpp/commented-out-code,problem,Commented-out code,684,sf-ba9d433ff6283978249f,0,0,,1,qalert-8dd83af1899d1e7aeddb945b,completed,not_pr_introduced,0,False,True,maintainability|documentation,69da9a776a537f0a79717586399da193d4161107,f49f3464a910527e59378da1553d44ddf4716ce8,src/main/formats/RareSnes/RareSnesSeq.cpp,"@@ -707,44 +657,35 @@ bool RareSnesTrack::readEvent(void) {",657,691,introduced,False,new_side_hunk_v1,primary|broad,2.0.0,security-and-quality,0
case-03011033f32e831010a4,positive,quality,ai,vgmtrans/vgmtrans,612,3147947387,C++,refactor,2.807000,29,,,,formal,quality,quality,target_reference,quality,True,2.23.2,true,false,production,high,recommendation,True,maintainability,True,cpp/declaration-hides-variable,problem,Declaration hides variable,1032,sf-887576325661440c647a,0,0,,1,qalert-18c8894290f9a1b367956c7b,completed,not_valid_issue,0,False,True,maintainability|readability,69da9a776a537f0a79717586399da193d4161107,f49f3464a910527e59378da1553d44ddf4716ce8,src/main/formats/RareSnes/RareSnesSeq.cpp,"@@ -1137,12 +1029,8 @@ bool RareSnesTrack::readEvent(void) {",1029,1036,introduced,True,new_side_hunk_v1,primary|broad,2.0.0,security-and-quality,0
case-03011033f32e831010a4,positive,quality,ai,vgmtrans/vgmtrans,612,3147947387,C++,refactor,2.807000,29,,,,formal,quality,quality,target_reference,quality,True,2.23.2,true,false,production,high,recommendation,True,maintainability,True,cpp/declaration-hides-variable,problem,Declaration hides variable,375,sf-a145b7f599e90c12c203,0,0,,1,qalert-aed6aa5c8f13abdfe18f4807,completed,not_valid_issue,0,False,True,maintainability|readability,69da9a776a537f0a79717586399da193d4161107,f49f3464a910527e59378da1553d44ddf4716ce8,src/main/formats/RareSnes/RareSnesSeq.cpp,"@@ -370,56 +371,43 @@ bool RareSnesTrack::readEvent(void) {",371,413,introduced,True,new_side_hunk_v1,primary|broad,2.0.0,security-and-quality,0
case-03011033f32e831010a4,positive,quality,ai,vgmtrans/vgmtrans,612,3147947387,C++,refactor,2.807000,29,,,,formal,quality,quality,target_reference,quality,True,2.23.2,true,false,production,high,recommendation,True,maintainability,True,cpp/declaration-hides-variable,problem,Declaration hides variable,382,sf-11bb3e98a8a821697521,0,0,,1,qalert-1dfaa85728c9ac564e4f8fe1,completed,not_valid_issue,0,False,True,maintainability|readability,69da9a776a537f0a79717586399da193d4161107,f49f3464a910527e59378da1553d44ddf4716ce8,src/main/formats/RareSnes/RareSnesSeq.cpp,"@@ -370,56 +371,43 @@ bool RareSnesTrack::readEvent(void) {",371,413,introduced,True,new_side_hunk_v1,primary|broad,2.0.0,security-and-quality,0
case-03011033f32e831010a4,positive,quality,ai,vgmtrans/vgmtrans,612,3147947387,C++,refactor,2.807000,29,,,,formal,quality,quality,target_reference,quality,True,2.23.2,true,false,production,high,recommendation,True,maintainability,True,cpp/declaration-hides-variable,problem,Declaration hides variable,390,sf-2b08edf31067970a274d,0,0,,1,qalert-8827d1017b41022ebbf42c75,completed,not_valid_issue,0,False,True,maintainability|readability,69da9a776a537f0a79717586399da193d4161107,f49f3464a910527e59378da1553d44ddf4716ce8,src/main/formats/RareSnes/RareSnesSeq.cpp,"@@ -370,56 +371,43 @@ bool RareSnesTrack::readEvent(void) {",371,413,introduced,True,new_side_hunk_v1,primary|broad,2.0.0,security-and-quality,0
case-03011033f32e831010a4,positive,quality,ai,vgmtrans/vgmtrans,612,3147947387,C++,refactor,2.807000,29,,,,formal,quality,quality,target_reference,quality,True,2.23.2,true,false,production,high,recommendation,True,maintainability,True,cpp/declaration-hides-variable,problem,Declaration hides variable,399,sf-e7a7dc1bd0685cf708ea,0,0,,1,qalert-be3649b200b777dfa66158d2,completed,not_valid_issue,0,False,True,maintainability|readability,69da9a776a537f0a79717586399da193d4161107,f49f3464a910527e59378da1553d44ddf4716ce8,src/main/formats/RareSnes/RareSnesSeq.cpp,"@@ -370,56 +371,43 @@ bool RareSnesTrack::readEvent(void) {",371,413,introduced,True,new_side_hunk_v1,primary|broad,2.0.0,security-and-quality,0
