case_id,group,repo_name,pr_number,language,task_type,reference_id,alert_id,rule_id,rule_name,quality_category,semantic_recovered,rq1_mechanism_category,rq1_mechanism_label,mechanism_subcategory,root_cause_cluster_id,mapping_source,mapping_status,mapping_confidence,mapping_rationale
case-03011033f32e831010a4,ai,vgmtrans/vgmtrans,612,C++,refactor,sf-855b1bfa45a1fa6a6c12,qalert-56c7d475df684d8e1bf401a3,cpp/commented-out-code,Commented-out code,maintainability,0,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-f0a555838f128311f134,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The sequence parser change retained two complete debug logging statements as comments instead of removing the dead implementation text or expressing an explanatory comment.
case-0dae88f83e73408565ec,ai,willccbb/verifiers,166,Python,feat,sf-3405091b22b7dbd375d3,qalert-8c45f36a59a9aff7647456b8,py/empty-except,Empty except,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-1a8c59efdc71651f6460,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The Tau2 environment added empty handlers around both user and agent is_stop probes, silently converting every probe failure into continued execution."
case-0dae88f83e73408565ec,ai,willccbb/verifiers,166,Python,feat,sf-a1aa8937dc21decf70e3,qalert-511d03322ade73ccb4519952,py/empty-except,Empty except,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-bbb181e33e7f33f41ca2,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The added pre/post-tool order diagnostics wrapped three debug probes in empty Exception handlers, hiding failures without recording why each probe was optional."
case-0dae88f83e73408565ec,ai,willccbb/verifiers,166,Python,feat,sf-b31a79845c369ac2913e,qalert-d994b14ebc264ccff6a15a01,py/empty-except,Empty except,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-bbb181e33e7f33f41ca2,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The added pre/post-tool order diagnostics wrapped three debug probes in empty Exception handlers, hiding failures without recording why each probe was optional."
case-0dae88f83e73408565ec,ai,willccbb/verifiers,166,Python,feat,sf-e3003d1d39e7033ae473,qalert-d13b3abb3efae8a4c8945f93,py/empty-except,Empty except,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-bbb181e33e7f33f41ca2,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The added pre/post-tool order diagnostics wrapped three debug probes in empty Exception handlers, hiding failures without recording why each probe was optional."
case-0dae88f83e73408565ec,ai,willccbb/verifiers,166,Python,feat,sf-fbcc3b3246ac3dd063ff,qalert-4e1088e24a5caad74754800e,py/empty-except,Empty except,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-1a8c59efdc71651f6460,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The Tau2 environment added empty handlers around both user and agent is_stop probes, silently converting every probe failure into continued execution."
case-15fca550df7f9ba029d9,ai,OpenHFT/Chronicle-Wire,1061,Java,refactor,sf-c09231452f36ccef2f4a,qalert-749c353999464375c463ff35,java/unknown-javadoc-parameter,Spurious Javadoc @param tags,maintainability,0,interface_or_contract_mismatch,Interface or contract mismatch,export_documentation_or_metadata_mismatch,rccluster-f7b342b341016f2db787,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The parameter-renaming refactor changed six method parameters across FieldInfo, WireOut, WireIn, and MethodWriterInvocationHandlerSupplier without propagating the new names to their @param tags."
case-1aaea7ba84a2f17638de,ai,ibelick/zola,185,TypeScript,feat,sf-c324591f264f7ae7bf0e,qalert-056729b3c8de9c8da1964f1e,js/trivial-conditional,Useless conditional,correctness_reliability,0,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-045ddb18207b0726c420,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The chat route combines isAuthenticated with a userId check even though userId is a guaranteed string at that point, making the second operand invariably true."
case-232a78570fb9941423b0,ai,ruvnet/claude-flow,519,TypeScript,fix,sf-99d33280d90d77022b8f,qalert-3494ef21d27a56d94435ecce,js/call-to-non-callable,Invocation of non-function,correctness_reliability,1,interface_or_contract_mismatch,Interface or contract mismatch,api_lifecycle_or_declaration_mismatch,rccluster-4b224d821017ce974aa9,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The dynamic-schema change imports two utilities from agent-types, calls getAvailableAgentTypes even though its resolved export is non-callable, and leaves the alternative getAgentTypeSchema binding unused."
case-251cb80f6be4da1148b5,ai,prebid/Prebid.js,13160,JavaScript,fix,sf-11536c648b436064cbcb,qalert-fbc611bef0ac07bbdb11056d,js/trivial-conditional,Useless conditional,correctness_reliability,0,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-00b864e2449f3549de5e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The RTD provider changes add array fallbacks inside paths already guarded by truthy providers or nonempty slots, making the fallback operands unreachable in all three expressions."
case-251cb80f6be4da1148b5,ai,prebid/Prebid.js,13160,JavaScript,fix,sf-4f45698b78c934b6fe0d,qalert-bb0b9fe4908c5748c8977422,js/trivial-conditional,Useless conditional,correctness_reliability,0,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-00b864e2449f3549de5e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The RTD provider changes add array fallbacks inside paths already guarded by truthy providers or nonempty slots, making the fallback operands unreachable in all three expressions."
case-251cb80f6be4da1148b5,ai,prebid/Prebid.js,13160,JavaScript,fix,sf-93557704dfd4af4f33d5,qalert-2316ba89e5fe88046c4b67e5,js/trivial-conditional,Useless conditional,correctness_reliability,0,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-00b864e2449f3549de5e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The RTD provider changes add array fallbacks inside paths already guarded by truthy providers or nonempty slots, making the fallback operands unreachable in all three expressions."
